last_active,score,member_since,us_state,first_name,last_name,dob,state,company_name,source
2018/09/10,48,1986,Ohio,Brandon,Williams,1975/02/02,OH,Rivera-Morrow,us_softball_league
2018/03/19,79,2015,Wyoming,Nicole,Hendrix,1987/02/27,WY,Mcdonald Inc,us_softball_league
2018/01/21,65,1980,North Carolina,Clinton,Decker,1993/01/13,NC,"Hopkins, Barnes and Ward",us_softball_league
2018/12/02,75,1992,Florida,Timothy,Crane,1987/06/19,FL,Mcdonald Inc,us_softball_league
2018/06/07,61,1981,Iowa,Matthew,Schroeder,1961/02/05,IA,Rivera-Morrow,us_softball_league
2018/03/23,37,2007,Mississippi,Randall,Larson,1986/09/13,MS,Pearson Group,us_softball_league
2018/03/05,51,2010,West Virginia,Sandra,Nguyen,1990/09/11,WV,"Martin, Mcknight and Clark",us_softball_league
2018/08/05,65,1982,Maryland,Marcus,Nelson,1984/11/13,MD,Parker Group,us_softball_league
2018/05/04,89,1997,Louisiana,Tracy,Morgan,1979/07/12,LA,Scott and Sons,us_softball_league
2018/06/03,58,1975,Florida,Stephanie,Scott,1978/07/29,FL,Mcdonald Inc,us_softball_league
2018/03/25,61,1997,Texas,Kathy,Marks,1959/06/12,TX,Williams-Stephenson,us_softball_league
2018/04/27,51,1992,Delaware,Timothy,Delgado,1982/03/16,DE,"Hopkins, Barnes and Ward",us_softball_league
2018/04/15,59,2004,Alabama,John,Sanchez,1988/03/06,AL,"Jackson, Carlson and Contreras",us_softball_league
2018/12/01,35,1980,South Carolina,Christina,Jones,1965/04/10,SC,Peterson and Sons,us_softball_league
2018/07/18,72,1990,Arizona,Jennifer,Horton,1976/02/05,AZ,Keller Group,us_softball_league
2018/04/03,72,2005,Utah,Christopher,Douglas,1964/08/30,UT,Taylor-Alvarez,us_softball_league
2018/04/05,63,2007,Delaware,Norma,Berg,1960/12/09,DE,Rivera-Morrow,us_softball_league
2019/01/06,49,1982,Minnesota,Angela,Berry,1972/09/27,MN,Scott and Sons,us_softball_league
2018/04/28,73,1988,West Virginia,Ryan,Collins,1980/12/06,WV,Rivera Ltd,us_softball_league
2018/09/08,91,1979,New Mexico,Eric,Mann,1997/04/11,NM,"Alvarez, Schaefer and Robertson",us_softball_league
2018/05/29,56,2004,Montana,Karen,Mcintosh,1959/10/01,MT,"Martin, Mcknight and Clark",us_softball_league
2018/07/16,46,1998,Massachusetts,Karen,Smith,1989/08/29,MA,Rivera-Morrow,us_softball_league
2018/12/09,54,1970,Connecticut,Jennifer,Johnson,1977/09/14,CT,Bruce Inc,us_softball_league
2018/07/15,34,1982,New Mexico,Olivia,Carter,1982/01/23,NM,,us_softball_league
2018/04/14,63,1997,Minnesota,Brandon,Schroeder,1989/10/17,MN,"Kelley, Gilbert and Jackson",us_softball_league
2018/04/14,72,2005,South Dakota,Taylor,Murphy,1965/09/12,SD,"Brown, Vasquez and Sanchez",us_softball_league
2018/01/14,98,2012,South Dakota,Justin,Medina,1991/05/12,SD,Scott and Sons,us_softball_league
2018/06/03,76,1973,Alaska,Joshua,Smith,1969/08/19,AK,Rivera-Morrow,us_softball_league
2018/01/11,63,2011,Michigan,Kevin,James,1964/01/27,MI,"Mullen, Huffman and Vasquez",us_softball_league
2018/03/21,86,2018,Florida,,,1967/10/11,FL,Pearson Group,us_softball_league
2018/10/05,46,1987,Missouri,Jeffery,Thomas,1984/11/15,MO,Pearson Group,us_softball_league
2018/04/20,82,2003,Wisconsin,Emma,Foster,1973/12/01,WI,Peterson and Sons,us_softball_league
2018/12/28,57,2004,Montana,Karen,Mcfarland,1973/01/07,MT,Keller Group,us_softball_league
2018/06/06,68,1987,Rhode Island,,,1960/06/17,RI,Keller Group,us_softball_league
2018/07/05,65,2010,Virginia,Wyatt,Marquez,1989/03/09,VA,Keller Group,us_softball_league
2018/08/20,51,2009,Mississippi,Richard,Bowen,1979/07/23,MS,Hunter Ltd,us_softball_league
2018/06/20,36,1992,Maryland,,,1994/09/22,MD,Hunter Ltd,us_softball_league
2018/06/16,63,1990,Louisiana,Lisa,Chapman,1976/07/02,LA,Williams-Stephenson,us_softball_league
2018/02/03,67,1972,Connecticut,Michael,Anderson,1985/07/10,CT,Keller Group,us_softball_league
2018/01/20,70,1990,Minnesota,Sara,Brooks,1995/03/26,MN,Hunter Ltd,us_softball_league
2019/01/06,36,1973,Wisconsin,Brian,Bird,1977/09/25,WI,Peterson and Sons,us_softball_league
2018/07/26,81,1999,South Carolina,Brenda,Parker,1993/07/31,SC,"Smith, Torres and Matthews",us_softball_league
2018/09/19,35,2007,Nevada,Ronnie,Copeland,1990/06/08,NV,Williams-Stephenson,us_softball_league
2018/07/08,94,1976,Virginia,Jacob,Davis,1994/02/01,VA,Rivera Ltd,us_softball_league
2018/05/25,54,1982,New Mexico,Alexandria,Martinez,1991/10/27,NM,"Martin, Mcknight and Clark",us_softball_league
2018/05/17,84,2011,Virginia,Sydney,Coleman,1963/12/17,VA,Pearson Group,us_softball_league
2018/10/29,30,1971,New Jersey,Timothy,Smith,1997/02/22,NJ,Taylor-Alvarez,us_softball_league
2018/08/18,66,1998,Mississippi,Brianna,Kim,1993/03/02,MS,"Hopkins, Barnes and Ward",us_softball_league
2018/11/03,94,1984,Oregon,Lori,Tyler,1965/12/21,OR,Rivera Ltd,us_softball_league
2018/10/28,95,1995,North Carolina,Ryan,Cox,1959/12/17,NC,"Hopkins, Barnes and Ward",us_softball_league
2018/10/04,83,1997,Georgia,Jerry,Garcia,1992/03/06,GA,Williams-Stephenson,us_softball_league
2018/01/31,72,1990,Tennessee,Linda,Gomez,1969/12/12,TN,Taylor-Alvarez,us_softball_league
2018/01/27,84,2007,Wyoming,Jerome,King,1963/08/23,WY,Mcdonald Inc,us_softball_league
2018/05/09,40,1995,New Mexico,John,Morton,1997/12/22,NM,"Hopkins, Barnes and Ward",us_softball_league
2018/07/09,45,2006,Vermont,Amy,Lucero,1981/12/30,VT,"Brown, Vasquez and Sanchez",us_softball_league
2018/02/06,35,1981,Pennsylvania,Jacob,Shelton,1972/01/21,PA,Keller Group,us_softball_league
2018/08/18,76,1985,Montana,Brianna,Wagner,1989/04/01,MT,"Alvarez, Schaefer and Robertson",us_softball_league
2018/11/29,51,2017,Mississippi,Kelly,Bryant,1987/06/18,MS,Rivera-Morrow,us_softball_league
2018/02/08,84,1991,Colorado,Jeremy,Rangel,1996/04/01,CO,Peterson and Sons,us_softball_league
2018/07/16,45,1976,Arkansas,Brandon,Bowers,1961/11/12,AR,"Martin, Mcknight and Clark",us_softball_league
2019/01/02,69,1984,Kansas,Brian,Anderson,1976/08/18,KS,Rivera Ltd,us_softball_league
2018/11/30,63,1994,Texas,Brenda,Parsons,1970/02/13,TX,"Hopkins, Barnes and Ward",us_softball_league
2018/04/20,75,1976,Maine,Arthur,Rojas,1962/12/26,ME,"Brown, Vasquez and Sanchez",us_softball_league
2018/12/13,32,1974,Ohio,Zachary,Moon,1970/10/14,OH,Bruce Inc,us_softball_league
2018/07/06,75,2005,California,Jessica,Lopez,1972/07/25,CA,Scott and Sons,us_softball_league
2018/06/24,67,2002,Hawaii,Kimberly,Fisher,1980/10/21,HI,"Smith, Torres and Matthews",us_softball_league
2018/07/31,77,2000,Washington,Joel,Richardson,1972/08/26,WA,Rivera-Morrow,us_softball_league
2018/09/26,40,2007,Massachusetts,Rachael,Morgan,1976/03/05,MA,"Hopkins, Barnes and Ward",us_softball_league
2018/10/05,93,1982,California,Evan,Ramirez,1971/03/05,CA,Hunter Ltd,us_softball_league
2018/04/25,30,1999,Illinois,James,Hendrix,1962/07/21,IL,Scott and Sons,us_softball_league
2018/02/26,38,1993,Kentucky,,,1975/02/05,KY,"Mullen, Huffman and Vasquez",us_softball_league
2018/11/05,86,1975,Alabama,Julia,Sherman,1967/07/17,AL,"Mullen, Huffman and Vasquez",us_softball_league
2018/06/04,50,2006,Maine,Jason,Williams,1995/05/22,ME,Mcdonald Inc,us_softball_league
2018/08/22,58,1994,North Dakota,Stacy,Townsend,1986/11/04,ND,Rivera-Morrow,us_softball_league
2018/02/28,36,2015,Wisconsin,Ethan,Watts,1994/10/17,WI,"Alvarez, Schaefer and Robertson",us_softball_league
2018/04/09,54,2013,Maryland,Hannah,Watts,1982/06/12,MD,Pearson Group,us_softball_league
2018/02/13,96,1970,Oregon,Ashley,Hoffman,1978/01/04,OR,"Mullen, Huffman and Vasquez",us_softball_league
2018/10/15,90,2015,Nebraska,Elizabeth,Rivera,1997/03/27,NE,"Kelley, Gilbert and Jackson",us_softball_league
2018/04/26,81,2006,New Hampshire,Donald,Scott,1994/04/11,NH,Rivera Ltd,us_softball_league
2018/02/28,59,2006,Vermont,Michelle,Nguyen,1995/06/27,VT,Taylor-Alvarez,us_softball_league
2018/05/17,74,1971,Utah,Andrea,Reynolds,1991/11/20,UT,"Jackson, Carlson and Contreras",us_softball_league
2018/04/27,80,1974,Washington,Christopher,Conner,1997/09/02,WA,Pearson Group,us_softball_league
2018/02/17,57,2003,Michigan,Tanya,Pratt,1992/08/26,MI,"Kelley, Gilbert and Jackson",us_softball_league
2018/01/17,94,2017,Vermont,Gilbert,Garcia,1974/01/24,VT,"Martin, Mcknight and Clark",us_softball_league
2018/10/05,99,1982,Mississippi,Jennifer,Hampton,1981/07/28,MS,Rivera-Morrow,us_softball_league
2018/07/13,67,2011,Massachusetts,Ellen,Lutz,1959/10/13,MA,Peterson and Sons,us_softball_league
2018/11/05,34,1978,Hawaii,Martha,Smith,1962/08/14,HI,Rivera-Morrow,us_softball_league
2018/04/21,47,2002,Wisconsin,Rebecca,Snyder,1981/06/07,WI,"Martin, Mcknight and Clark",us_softball_league
2018/12/14,78,2011,Iowa,Margaret,Daniels,1978/04/25,IA,Scott and Sons,us_softball_league
2018/06/01,91,1985,California,Michael,Holmes,1997/10/14,CA,Scott and Sons,us_softball_league
2018/09/29,48,1974,Utah,Jamie,Johnston,1980/05/27,UT,Rivera Ltd,us_softball_league
2018/11/08,82,1996,New Hampshire,Melissa,Martin,1960/09/24,NH,Bruce Inc,us_softball_league
2018/07/27,69,1977,Virginia,Natalie,Lee,1978/11/10,VA,Hunter Ltd,us_softball_league
2018/07/20,71,1980,Delaware,Harry,Arnold,1959/11/12,DE,,us_softball_league
2018/04/26,49,2006,California,Cindy,Park,1960/07/17,CA,Scott and Sons,us_softball_league
2018/02/01,76,1977,Oregon,Allen,Diaz,1976/06/10,OR,Rivera-Morrow,us_softball_league
2018/06/15,95,1983,Missouri,David,Anderson,1992/08/09,MO,"Brown, Vasquez and Sanchez",us_softball_league
2018/06/30,96,1984,Maryland,Joseph,Ford,1971/06/18,MD,"Brown, Vasquez and Sanchez",us_softball_league
2018/07/18,30,1994,Indiana,Charles,Greer,1998/11/11,IN,"Mullen, Huffman and Vasquez",us_softball_league
2018/04/29,30,2002,Kansas,Frank,Lee,1972/08/05,KS,,us_softball_league
2018/12/15,40,2009,Hawaii,Gerald,Sanford,1985/08/04,HI,Parker Group,us_softball_league
2018/03/25,34,1982,Nevada,Kelly,Anderson,1990/12/06,NV,Bruce Inc,us_softball_league
2018/06/21,84,1973,Rhode Island,Kelly,Yang,1991/05/29,RI,"Smith, Torres and Matthews",us_softball_league
2018/04/27,70,2010,Utah,Sandra,Sutton,1969/11/06,UT,"Hopkins, Barnes and Ward",us_softball_league
2018/02/11,64,1991,Alabama,Brandon,Smith,1972/10/18,AL,Rivera-Morrow,us_softball_league
2018/06/16,73,2003,Arizona,Jason,Carlson,1995/09/29,AZ,Williams-Stephenson,us_softball_league
2018/10/24,61,1981,Montana,Jessica,Macias,1992/09/15,MT,"Hopkins, Barnes and Ward",us_softball_league
2018/12/29,58,1994,Hawaii,Jennifer,Rice,1972/04/06,HI,"Mullen, Huffman and Vasquez",us_softball_league
2018/04/26,80,1998,California,Jennifer,Morgan,1967/07/01,CA,Rivera-Morrow,us_softball_league
2018/05/10,86,1992,Delaware,Bryan,Mueller,1960/04/10,DE,,us_softball_league
2018/04/04,81,2003,New Jersey,Matthew,Hobbs,1972/04/29,NJ,"Alvarez, Schaefer and Robertson",us_softball_league
2018/02/03,93,1975,New Hampshire,Amanda,Rice,1985/01/14,NH,"Mullen, Huffman and Vasquez",us_softball_league
2018/12/27,38,1985,Minnesota,Robert,Smith,1961/12/17,MN,Rivera Ltd,us_softball_league
2018/03/02,93,1975,Tennessee,Brianna,Sims,1970/07/23,TN,Parker Group,us_softball_league
2018/10/03,57,2004,Wisconsin,Michael,Waller,1963/05/17,WI,Rivera Ltd,us_softball_league
2018/09/13,56,2006,Arizona,Misty,Nelson,1995/01/07,AZ,"Smith, Torres and Matthews",us_softball_league
2018/10/17,91,2014,Rhode Island,Deanna,Stewart,1966/07/14,RI,Mcdonald Inc,us_softball_league
2018/10/11,34,2009,Maryland,Richard,Bailey,1962/12/02,MD,"Jackson, Carlson and Contreras",us_softball_league
2018/10/16,41,1975,Montana,Jamie,Moore,1995/01/25,MT,Taylor-Alvarez,us_softball_league
2018/03/22,76,1988,North Dakota,Valerie,Kelly,1989/04/15,ND,"Alvarez, Schaefer and Robertson",us_softball_league
2018/12/03,49,1999,Indiana,Mikayla,Jackson,1995/10/12,IN,"Mullen, Huffman and Vasquez",us_softball_league
2018/10/22,82,2004,Maine,Aaron,Johnson,1997/06/06,ME,,us_softball_league
2018/01/09,60,1980,Colorado,Shaun,Burns,1997/10/10,CO,Bruce Inc,us_softball_league
2018/07/30,90,1982,Illinois,Sarah,Miller,1982/10/23,IL,,us_softball_league
2018/03/14,78,1971,Oregon,Gregory,Beard,1976/06/10,OR,"Kelley, Gilbert and Jackson",us_softball_league
2018/12/02,44,1983,Vermont,Jeremy,Roy,1988/03/07,VT,"Jackson, Carlson and Contreras",us_softball_league
2018/03/26,40,1986,New Jersey,Natalie,Johnson,1969/07/15,NJ,"Hopkins, Barnes and Ward",us_softball_league
2018/07/02,51,1995,Colorado,Cole,Owens,1991/04/09,CO,"Mullen, Huffman and Vasquez",us_softball_league
2018/02/26,64,2012,North Dakota,Martin,Ellis,1968/07/29,ND,Pearson Group,us_softball_league
2018/05/28,65,1998,Idaho,Nicole,Frye,1965/10/13,ID,Parker Group,us_softball_league
2018/07/24,95,2001,Montana,Anthony,Marshall,1987/08/13,MT,Taylor-Alvarez,us_softball_league
2018/11/15,41,2014,South Carolina,,,1964/11/04,SC,Keller Group,us_softball_league
2018/03/28,79,2005,Illinois,Vincent,Rogers,1964/04/04,IL,"Brown, Vasquez and Sanchez",us_softball_league
2018/06/06,96,1991,Washington,Daniel,Johnson,1982/04/30,WA,"Brown, Vasquez and Sanchez",us_softball_league
2018/09/23,57,1987,Arizona,Sean,Scott,1998/05/14,AZ,Hunter Ltd,us_softball_league
2018/02/11,85,2015,Wyoming,Jennifer,Romero,1975/12/26,WY,Peterson and Sons,us_softball_league
2018/04/24,45,2005,Michigan,Amy,Jones,1973/05/29,MI,Williams-Stephenson,us_softball_league
2018/04/15,51,1980,Alaska,James,Powers,1990/07/24,AK,"Hopkins, Barnes and Ward",us_softball_league
2018/11/12,42,1981,Nevada,Lisa,Thomas,1961/08/17,NV,"Mullen, Huffman and Vasquez",us_softball_league
2018/09/24,50,2010,Idaho,Jeffrey,Romero,1997/03/03,ID,"Brown, Vasquez and Sanchez",us_softball_league
2018/02/07,59,2008,Colorado,Thomas,Obrien,1992/07/27,CO,Scott and Sons,us_softball_league
2018/02/24,59,2000,Georgia,Paul,Fernandez,1977/08/15,GA,Mcdonald Inc,us_softball_league
2018/12/18,45,2011,Utah,Kathleen,Harrington,1994/10/20,UT,Mcdonald Inc,us_softball_league
2018/12/30,42,1985,West Virginia,Gerald,Zamora,1993/07/01,WV,"Jackson, Carlson and Contreras",us_softball_league
2018/12/01,62,2007,Wisconsin,Christian,Diaz,1984/01/31,WI,"Brown, Vasquez and Sanchez",us_softball_league
2018/08/13,93,1985,Georgia,Samantha,Ross,1969/04/06,GA,Williams-Stephenson,us_softball_league
2018/01/15,50,1977,Alaska,Patrick,Martin,1966/09/13,AK,"Martin, Mcknight and Clark",us_softball_league
2018/07/05,61,2015,New York,Douglas,Hayes,1988/01/06,NY,"Mullen, Huffman and Vasquez",us_softball_league
2018/04/02,63,2009,Alaska,Marcus,Griffin,1998/12/03,AK,"Jackson, Carlson and Contreras",us_softball_league
2018/09/16,51,1989,Montana,Michael,Dickerson,1996/12/19,MT,"Alvarez, Schaefer and Robertson",us_softball_league
2018/06/05,79,2000,Washington,Kimberly,Webb,1972/03/17,WA,Pearson Group,us_softball_league
2018/10/26,97,1981,Washington,Kelly,Ritter,1970/08/31,WA,Peterson and Sons,us_softball_league
2018/06/08,84,1983,Vermont,Randy,Hart,1998/03/08,VT,Keller Group,us_softball_league
2018/03/16,95,1995,Oregon,James,Berry,1966/10/10,OR,"Smith, Torres and Matthews",us_softball_league
2018/09/05,80,1980,Maryland,Donald,Torres,1992/06/02,MD,Hunter Ltd,us_softball_league
2018/10/20,47,2012,Florida,Michelle,Villanueva,1991/05/23,FL,Taylor-Alvarez,us_softball_league
2018/11/11,68,1994,New Hampshire,Brianna,Yang,1971/02/19,NH,"Smith, Torres and Matthews",us_softball_league
2018/06/15,62,1984,Maryland,Gregory,Payne,1963/03/16,MD,Williams-Stephenson,us_softball_league
2018/02/04,70,1980,Washington,,,1998/10/16,WA,Parker Group,us_softball_league
2018/01/27,97,1999,Maine,Christina,Cabrera,1961/09/04,ME,Mcdonald Inc,us_softball_league
2018/09/28,53,1990,Louisiana,Theodore,Gray,1998/06/24,LA,"Martin, Mcknight and Clark",us_softball_league
2018/12/04,44,2007,Iowa,Anthony,Edwards,1989/12/13,IA,"Brown, Vasquez and Sanchez",us_softball_league
2018/08/04,56,1979,Louisiana,Dennis,Payne,1990/02/20,LA,Bruce Inc,us_softball_league
2018/11/05,73,1970,South Carolina,Kristen,Smith,1991/10/20,SC,Keller Group,us_softball_league
2018/09/01,97,1975,Oregon,Theresa,Cunningham,1969/07/23,OR,Rivera-Morrow,us_softball_league
2018/04/17,84,1992,North Dakota,Casey,Ramirez,1960/05/11,ND,Scott and Sons,us_softball_league
2018/12/14,63,1987,New Mexico,Kristin,Hampton,1971/10/07,NM,Mcdonald Inc,us_softball_league
2018/01/29,32,2001,Maryland,Margaret,Knight,1982/04/18,MD,Scott and Sons,us_softball_league
2018/11/14,48,2006,Indiana,Brandon,Lee,1968/03/17,IN,"Hopkins, Barnes and Ward",us_softball_league
2018/06/20,76,1973,Iowa,Lisa,Smith,1981/08/08,IA,Taylor-Alvarez,us_softball_league
2018/10/30,69,1983,Arizona,Samantha,Johnson,1993/05/27,AZ,Parker Group,us_softball_league
2018/01/23,99,1977,Vermont,Jill,Woods,1977/08/02,VT,,us_softball_league
2018/07/25,96,1977,Michigan,Elizabeth,Brown,1960/02/01,MI,Parker Group,us_softball_league
2018/10/14,49,1995,Arkansas,Joel,Flores,1989/09/21,AR,Peterson and Sons,us_softball_league
2018/04/24,81,1992,Nebraska,Erica,Lopez,1981/05/11,NE,Peterson and Sons,us_softball_league
