last_active,score,member_since,us_state,first_name,last_name,dob,state,company_name,source,company_name
2018/01/28,59,1970,South Dakota,Joshua,Bartlett,1994/12/26,SD,Peterson and Sons,us_softball_league,Peterson and Sons
2018/02/02,94,1970,Minnesota,Ariana,Robbins,1988/01/13,MN,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/11/14,39,1978,Kentucky,Brian,Stephenson,1996/09/05,KY,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/05/09,54,1981,Minnesota,Angela,Erickson,1986/06/13,MN,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/05/23,81,1985,Wyoming,Morgan,Spencer,1996/10/01,WY,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/09/16,89,1976,Montana,Rhonda,Sanchez,1997/04/10,MT,Keller Group,us_softball_league,Keller Group
2018/06/19,40,1988,Arkansas,Nicholas,Price,1993/04/02,AR,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/03/15,46,1992,Wyoming,Dominic,Martin,1997/03/27,WY,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/12/13,62,1970,Texas,Christina,Franco,1997/09/13,TX,Scott and Sons,us_softball_league,Scott and Sons
2018/07/20,56,1985,Mississippi,Nicole,Williams,1997/06/27,MS,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/08/03,34,1976,Nevada,Kelsey,Brooks,1987/03/01,NV,Bruce Inc,us_softball_league,Bruce Inc
2018/06/26,33,1995,Louisiana,,,1998/09/19,LA,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/10/26,66,1971,Utah,Kimberly,Williams,1977/09/28,UT,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/11/02,64,1988,Minnesota,Joe,Salinas,1988/03/02,MN,Keller Group,us_softball_league,Keller Group
2018/12/31,38,1977,Iowa,Jessica,Cabrera,1981/04/17,IA,Rivera Ltd,us_softball_league,Rivera Ltd
2018/04/06,62,1980,Nebraska,Kerri,Bates,1989/11/10,NE,Keller Group,us_softball_league,Keller Group
2018/09/30,79,1979,Montana,Tammy,Adams,1989/11/04,MT,"Smith, Torres and Matthews",us_softball_league,"Smith, Torres and Matthews"
2018/01/13,87,1981,North Carolina,Luis,Walker,1998/07/26,NC,Rivera Ltd,us_softball_league,Rivera Ltd
2018/04/04,48,1987,Vermont,William,Lee,1989/03/01,VT,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/05/25,66,1985,Idaho,Daniel,Williams,1990/03/06,ID,,us_softball_league,
2018/09/11,65,1977,South Carolina,Rachel,Johnson,1982/09/16,SC,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/08/06,80,1976,Ohio,Vincent,Mcbride,1990/06/09,OH,Peterson and Sons,us_softball_league,Peterson and Sons
2018/02/02,69,1983,South Dakota,Thomas,Murphy,1995/03/19,SD,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/12/13,99,1972,New Mexico,Ronald,Wright,1988/07/20,NM,"Kelley, Gilbert and Jackson",us_softball_league,"Kelley, Gilbert and Jackson"
2018/02/11,50,1971,Kansas,Mary,James,1987/02/12,KS,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/07/01,49,1983,Nebraska,Joseph,Frank,1998/11/23,NE,Pearson Group,us_softball_league,Pearson Group
2018/10/01,36,1975,Oregon,Amy,Ryan,1992/04/08,OR,Pearson Group,us_softball_league,Pearson Group
2018/01/20,46,1986,Missouri,Kimberly,Green,1997/10/14,MO,Rivera Ltd,us_softball_league,Rivera Ltd
2018/02/11,86,1978,Michigan,Joshua,Gay,1983/10/16,MI,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/04/24,40,1980,Arizona,Eric,Sanchez,1982/04/05,AZ,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/12/22,88,1978,Maryland,Jennifer,Petersen,1995/12/27,MD,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/09/07,61,1971,Nevada,Teresa,Torres,1997/10/24,NV,Bruce Inc,us_softball_league,Bruce Inc
2018/07/24,96,1975,Idaho,Anna,Fitzpatrick,1993/11/16,ID,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/09/07,80,1970,California,Vickie,Carter,1990/05/30,CA,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/07/08,48,1989,South Carolina,Kaitlyn,Simmons,1996/12/21,SC,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/05/27,57,1989,Michigan,Amber,Houston,1992/05/19,MI,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/03/15,31,1994,Wisconsin,Jamie,Lawrence,1997/03/17,WI,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/08/21,84,1974,Massachusetts,Lisa,Hutchinson,1977/11/07,MA,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/08/01,56,1973,Illinois,Lori,Jacobs,1981/08/28,IL,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/07/20,39,1978,Wyoming,Stephen,Bean,1990/08/07,WY,Peterson and Sons,us_softball_league,Peterson and Sons
2018/03/13,87,1985,Nebraska,Michael,Strickland,1989/12/29,NE,Bruce Inc,us_softball_league,Bruce Inc
2018/03/14,76,1981,Alaska,Paula,Fernandez,1993/11/13,AK,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/09/17,79,1972,Arizona,Jessica,Morgan,1977/02/24,AZ,Peterson and Sons,us_softball_league,Peterson and Sons
2019/01/08,65,1976,Iowa,Tammy,Martinez,1997/01/03,IA,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/09/14,66,1990,Georgia,Chelsey,Martin,1997/01/29,GA,Scott and Sons,us_softball_league,Scott and Sons
2018/01/22,56,1980,New Jersey,Ross,Williamson,1980/10/30,NJ,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/02/21,32,1984,West Virginia,Ellen,Sheppard,1992/10/15,WV,Parker Group,us_softball_league,Parker Group
2018/08/15,37,1992,New Jersey,Brenda,Vaughn,1994/03/03,NJ,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2018/07/16,66,1970,Utah,Michael,Price,1974/06/13,UT,Pearson Group,us_softball_league,Pearson Group
2018/04/23,52,1974,Illinois,Sally,Alvarez,1979/12/21,IL,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/03/30,66,1988,Maine,Wesley,Reed,1998/02/19,ME,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/03/17,76,1972,Arkansas,Austin,Hicks,1994/04/05,AR,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/05/07,86,1971,Missouri,Linda,Conner,1990/04/15,MO,Keller Group,us_softball_league,Keller Group
2018/11/08,40,1977,North Carolina,Hannah,Jefferson,1996/05/02,NC,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/08/03,49,1974,Georgia,James,Murphy,1993/04/16,GA,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/11/17,30,1980,Utah,Brandon,Yoder,1993/02/02,UT,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/12/22,52,1977,Ohio,Mary,Lynch,1990/03/25,OH,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2019/01/08,85,1986,New Jersey,Christine,Young,1994/03/01,NJ,,us_softball_league,
2018/09/14,60,1976,Texas,Derek,Atkinson,1998/07/31,TX,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
2019/01/06,55,1982,New Hampshire,Cody,Short,1991/08/26,NH,Peterson and Sons,us_softball_league,Peterson and Sons
2018/12/19,91,1990,Virginia,Christopher,Huber,1990/06/07,VA,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/12/17,61,1989,Wisconsin,Christopher,Ramirez,1992/05/17,WI,Bruce Inc,us_softball_league,Bruce Inc
2018/11/10,52,1991,Rhode Island,Amanda,Hunt,1998/03/24,RI,Rivera Ltd,us_softball_league,Rivera Ltd
2018/04/20,72,1971,Rhode Island,Nathan,Bailey,1993/03/04,RI,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/05/29,65,1976,Virginia,Samuel,Allen,1989/03/10,VA,Peterson and Sons,us_softball_league,Peterson and Sons
2018/11/24,69,1983,North Carolina,Brenda,Colon,1998/08/01,NC,Rivera-Morrow,us_softball_league,Rivera-Morrow
2018/10/02,81,1972,Oregon,Marcus,Kennedy,1983/03/25,OR,Scott and Sons,us_softball_league,Scott and Sons
2018/05/30,93,1980,Massachusetts,Pamela,Schmidt,1982/09/11,MA,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/09/13,41,1982,Idaho,Robert,Middleton,1996/08/22,ID,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/01/20,62,1981,North Dakota,Jesse,Alvarez,1981/05/22,ND,Hunter Ltd,us_softball_league,Hunter Ltd
2018/09/10,60,1971,Virginia,Mary,Duffy,1971/04/18,VA,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/08/13,31,1984,Maine,Christopher,Lopez,1994/07/09,ME,Scott and Sons,us_softball_league,Scott and Sons
2018/07/17,68,1973,Rhode Island,,,1994/05/03,RI,"Alvarez, Schaefer and Robertson",us_softball_league,"Alvarez, Schaefer and Robertson"
2018/12/16,71,1975,Nevada,Rhonda,Peterson,1986/04/22,NV,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/11/09,59,1975,Nebraska,Robert,Simpson,1978/08/09,NE,,us_softball_league,
2018/03/31,33,1989,New Mexico,Veronica,Beck,1991/06/29,NM,Keller Group,us_softball_league,Keller Group
2018/09/04,47,1977,Colorado,Tyler,Moore,1982/04/26,CO,Keller Group,us_softball_league,Keller Group
2018/08/30,49,1972,Alabama,Justin,Hall,1980/08/26,AL,Rivera Ltd,us_softball_league,Rivera Ltd
2018/08/18,85,1992,New York,Beth,Martin,1992/01/04,NY,Scott and Sons,us_softball_league,Scott and Sons
2018/05/11,93,1990,Indiana,Andrea,Montgomery,1990/12/10,IN,Taylor-Alvarez,us_softball_league,Taylor-Alvarez
2018/01/11,31,1977,Washington,Brianna,Stevens,1997/11/24,WA,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/09/06,39,1991,Connecticut,Monica,Rogers,1994/11/04,CT,Rivera Ltd,us_softball_league,Rivera Ltd
2018/02/06,56,1981,New Hampshire,Paula,Smith,1997/01/19,NH,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/10/21,49,1983,Nebraska,Caroline,Hopkins,1983/03/15,NE,Hunter Ltd,us_softball_league,Hunter Ltd
2018/02/20,91,1991,Illinois,Billy,Montgomery,1992/10/06,IL,Williams-Stephenson,us_softball_league,Williams-Stephenson
2018/01/14,86,1974,New Hampshire,Joseph,Martin,1991/03/16,NH,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/11/10,94,1985,Connecticut,Bryan,Harrison,1989/06/30,CT,"Brown, Vasquez and Sanchez",us_softball_league,"Brown, Vasquez and Sanchez"
2018/02/05,86,1978,New Hampshire,Taylor,May,1982/11/18,NH,,us_softball_league,
2018/08/25,80,1976,Florida,Christine,Harrison,1996/09/10,FL,,us_softball_league,
2018/08/18,42,1971,West Virginia,Adrian,Nelson,1972/08/03,WV,"Hopkins, Barnes and Ward",us_softball_league,"Hopkins, Barnes and Ward"
2018/06/17,86,1988,Utah,Brenda,Garza,1998/03/24,UT,Peterson and Sons,us_softball_league,Peterson and Sons
2018/07/01,70,1981,Kentucky,Justin,Ferrell,1987/10/28,KY,Keller Group,us_softball_league,Keller Group
2018/05/16,34,1994,Delaware,Jason,Dougherty,1998/09/05,DE,Parker Group,us_softball_league,Parker Group
2018/03/10,56,1985,Florida,Vanessa,Rosales,1997/09/12,FL,Bruce Inc,us_softball_league,Bruce Inc
2018/01/28,62,1977,New Jersey,Brenda,Morton,1993/03/30,NJ,Keller Group,us_softball_league,Keller Group
2018/04/15,38,1985,Washington,John,Murphy,1994/08/11,WA,Scott and Sons,us_softball_league,Scott and Sons
2018/12/24,68,1977,North Carolina,Peter,Chan,1980/03/25,NC,"Mullen, Huffman and Vasquez",us_softball_league,"Mullen, Huffman and Vasquez"
2018/07/31,83,1981,North Carolina,Andrew,Taylor,1990/02/14,NC,"Jackson, Carlson and Contreras",us_softball_league,"Jackson, Carlson and Contreras"
2018/02/02,80,1990,South Dakota,Tommy,Rodriguez,1996/06/17,SD,"Martin, Mcknight and Clark",us_softball_league,"Martin, Mcknight and Clark"
